<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"自局番(MAC ID)の値が，範囲外。
モードスイッチの値が範囲外。","・自局番を0～63の間で設定する。
・モードスイッチをD～F以外に設定する。"
2006,"（対象局番：06局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2007,"（対象局番：07局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2008,"（対象局番：08局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2009,"（対象局番：09局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
200A,"（対象局番：10局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
200B,"（対象局番：11局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
200C,"（対象局番：12局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
200D,"（対象局番：13局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
200E,"（対象局番：14局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
200F,"（対象局番：15局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2010,"（対象局番：16局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2011,"（対象局番：17局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2012,"（対象局番：18局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2013,"（対象局番：19局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2014,"（対象局番：20局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2015,"（対象局番：21局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2016,"（対象局番：22局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2017,"（対象局番：23局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2018,"（対象局番：24局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2019,"（対象局番：25局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
201A,"（対象局番：26局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
201B,"（対象局番：27局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
201C,"（対象局番：28局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
201D,"（対象局番：29局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
201E,"（対象局番：30局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
201F,"（対象局番：31局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2020,"（対象局番：32局）
スレーブ局が規定外のエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
